timestamp,distance_m,linear_x,angular_z,anomaly
1773869512.895,1.7481,0.300,0.000,OK
1773869513.395,1.8794,0.300,0.000,OK
1773869513.895,2.0416,0.300,0.000,OK
1773869514.395,2.1712,0.300,0.000,OK
1773869514.895,2.2129,0.300,0.000,OK
1773869515.395,2.2993,0.300,0.000,OK
1773869515.895,2.2389,0.300,0.000,OK
1773869516.395,2.3326,0.300,0.000,OK
1773869516.895,2.2227,0.300,0.000,OK
1773869517.395,2.1740,0.300,0.000,OK
1773869517.895,2.0641,0.300,0.000,OK
1773869518.395,1.9231,0.300,0.000,OK
1773869518.895,1.8333,0.300,0.000,OK
1773869519.395,1.6155,0.300,0.000,OK
1773869519.895,1.4709,0.300,0.000,OK
1773869520.395,1.2288,0.300,0.000,OK
1773869520.895,1.1501,0.300,0.000,OK
1773869521.395,1.0254,0.300,0.000,OK
1773869521.895,0.8843,0.300,0.000,OK
1773869522.395,0.7461,0.300,0.000,OK
1773869522.895,0.7642,0.300,0.000,OK
1773869523.395,0.6667,0.300,0.000,OK
1773869523.895,0.6916,0.300,0.000,OK
1773869524.396,0.7322,0.300,0.000,OK
1773869524.897,0.6939,0.300,0.000,OK
1773869525.398,0.9181,0.300,0.000,OK
1773869525.895,0.9890,0.300,0.000,OK
1773869526.398,1.1263,0.300,0.000,OK
1773869526.895,1.3051,0.300,0.000,OK
1773869527.396,1.4264,0.300,0.000,OK
1773869527.895,1.5798,0.300,0.000,OK
1773869528.397,1.7935,0.300,0.000,OK
1773869528.896,1.9945,0.300,0.000,OK
1773869529.395,2.0281,0.300,0.000,OK
1773869529.895,2.0806,0.300,0.000,OK
1773869530.395,2.2324,0.300,0.000,OK
1773869530.895,2.2856,0.300,0.000,OK
1773869531.395,2.4181,0.300,0.000,OK
1773869531.895,2.2968,0.300,0.000,OK
1773869532.395,2.2536,0.300,0.000,OK
1773869532.895,2.1885,0.300,0.000,OK
1773869533.395,2.1329,0.300,0.000,OK
1773869533.896,1.9250,0.300,0.000,OK
